,Movie Rating,Movie Revenue,Title
0,7.8,,around the world in eighty days
1,5.9,,body snatchers
2,7.9,,frankenstein
3,7.7,,the invisible man
4,5.8,101653320.0,journey to the center of the earth
5,6.0,,the mysterious island
6,7.6,,nineteen eighty-four
7,5.7,178094583.0,planet of the apes
8,6.0,,twenty thousand leagues under the sea
9,5.6,,village of the damned
10,7.2,,the war of the worlds
11,5.7,67128202.0,witch mountain
12,5.2,,the 5th wave
13,6.2,,the 27th day
14,,,2010: the year we make contact
15,7.2,,"20,000 leagues under the sea"
16,,,action replayy
17,,,aelita
18,6.9,,altered states
19,7.2,,amphibian man
20,,,the andromeda nebula
21,7.2,,the andromeda strain
22,6.6,,anna to the infinite power
23,6.9,20636742.0,annihilation
24,5.7,4563873.0,atlas shrugged
25,5.7,4563873.0,atlas shrugged: part i
26,,,atlas shrugged: part ii
27,,,atlas shrugged part iii: who is john galt?
28,6.1,,atragon
29,5.6,22489779.0,babylon a.d.
30,7.7,,battle royale
31,2.5,,battlefield earth
32,6.2,,the beastmaster
33,6.9,,bicentennial man
34,5.3,,"bill, the galactic hero"
35,6.7,,bird box
36,,,blackbirds at bangpleng
37,5.6,,blueprint
38,7.0,,the boys from brazil
39,5.3,,brave new world
40,5.4,,buddha's little finger
41,7.1,,by dawn's early light
42,3.5,,carnosaur
43,4.3,,cell
44,,,chaos walking
45,7.1,,charly
46,7.3,,charodei
47,7.9,35100000.0,children of men
48,6.2,,children of the damned
49,5.3,20476300.0,the circle
50,6.5,7800000.0,city of ember
51,8.3,,a clockwork orange
52,7.5,22100000.0,cloud atlas
53,6.7,,cocoon
54,7.2,,colossus: the forbin project
55,5.1,,congo
56,6.5,,the congress
57,5.8,,conquest of space
58,,,contact 1997 american
59,6.0,,countdown
60,5.2,,damnation alley
61,,,dandelion wine
62,5.2,,dark planet
63,5.6,,the darkest minds
64,6.1,,the day of the dolphin
65,6.1,,the day of the triffids
66,7.3,,days of eclipse
67,,,dead mountaineer's hotel
68,,,deathlands: homeward bound
69,6.2,,deluge
70,6.3,,demon seed
71,6.4,,destination moon
72,,,list of adaptations of works by philip k. dick
73,6.7,129520735.0,divergent
74,,,the divergent series: allegiant
75,,,the divergent series: insurgent
76,6.3,,dreamscape
77,6.6,,dune
78,6.6,101111837.0,eagle eye
79,6.4,,earth vs. the flying saucers
80,7.9,77121429.0,edge of tomorrow
81,,,the end of eternity
82,6.6,61656849.0,ender's game
83,6.4,,escape to witch mountain
84,,,f.p.1
85,8.0,,the face of another
86,7.3,,fahrenheit 451
87,7.8,,fantastic planet
88,6.5,,fatherland
89,5.6,,the final programme
90,5.9,,four sided triangle
91,5.3,,freejack
92,7.8,,the girl who leapt through time
93,6.7,,the girl with all the gifts
94,6.5,33480518.0,the giver
95,5.5,,the gladiator
96,4.5,,goldengirl
97,3.5,,gor
98,8.4,,guest from the future
99,8.6,,the handmaid's tale
100,6.7,,hard to be a god
101,7.4,,harrison bergeron
102,5.0,,the high crusade
103,6.8,51019112.0,the hitchhiker's guide to the galaxy
104,5.9,26609448.0,the host
105,7.2,407981652.0,the hunger games
106,7.2,256399999.0,i am legend
107,6.1,55086029.0,i am number four
108,3.3,,i am omega
109,6.7,,in search of the castaways
110,7.7,,the incredible shrinking man
111,5.4,,the incredible shrinking woman
112,8.0,,the iron giant
113,,,the iron heel
114,5.9,,the iron heel of oligarchy
115,6.3,,the island at the top of the world
116,6.1,80055499.0,jumper
117,8.1,45299680.0,jurassic park
118,7.4,50040205.0,k-pax
119,,,kamikaze 1989
120,5.7,,the land that time forgot
121,7.4,,the last man on earth
122,5.9,,lathe of heaven
123,7.2,,the lathe of heaven
124,6.1,,lifeforce
125,6.8,,logan's run
126,5.3,,lorelei: the witch of the pacific ocean
127,6.5,,the lost world: jurassic park
128,,,les maîtres du temps
129,6.7,,the man who fell to earth
130,5.8,,marooned
131,8.0,202313768.0,the martian
132,6.8,98537272.0,the maze runner
133,6.3,57074211.0,maze runner: the death cure
134,6.3,,maze runner: the scorch trials
135,5.7,,the meg
136,5.9,,memoirs of an invisible man
137,8.3,529603.0,metropolis
138,8.1,,millennium
139,3.9,,mission stardust
140,6.4,,mortal engines
141,,,mr. murder
142,7.2,2412045.0,never let me go
143,,,night of the big heat
144,4.0,,night of the lepus
145,8.0,,oasis
146,6.6,,the omega man
147,7.3,,on the silver globe
148,6.7,,panic in year zero!
149,7.7,720502.0,paprika
150,5.9,,parasite eve
151,5.4,,the people that time forgot
152,6.0,,the postman
153,6.1,,the power
154,8.5,53100000.0,the prestige
155,3.1,,princess of mars
156,,,professor dowell's testament
157,6.7,53400000.0,project x
158,5.9,,pursuit
159,6.8,,the quiet earth
160,5.8,169298.0,radio free albemuth
161,7.5,,ready player one
162,5.9,,return from witch mountain
163,4.8,,revenge of the stepford wives
164,5.0,,riverworld
165,5.0,,riverworld
166,7.3,8025059.0,the road
167,6.7,,the running man
168,6.2,,the satan bug
169,,,sayonara jupiter
170,7.1,5281537.0,a scanner darkly
171,4.7,,skullduggery
172,2.2,,slapstick of another kind
173,6.9,,slaughterhouse-five
174,3.8,,solar crisis
175,6.2,14780776.0,solaris
176,6.0,,soldier
177,3.9,,solo
178,7.3,,somewhere in time
179,,,la soupe aux choux
180,7.1,,soylent green
181,8.1,268101.0,stalker
182,7.2,,starship troopers
183,5.2,,the stepford children
184,4.5,,the stepford husbands
185,5.3,59341993.0,the stepford wives
186,4.9,,the strange world of planet x
187,5.2,,the subterraneans
188,7.6,,the damned
189,4.5,,they came from beyond space
190,8.1,,the thing
191,7.0,,the thirteenth floor
192,5.9,,this island earth
193,,,the three-body problem
194,5.9,56684819.0,the time machine
195,7.1,63387284.0,the time traveler's wife
196,5.6,19375474.0,timeline
197,6.3,,timescape
198,4.8,,à ton image
199,8.2,,a trip to the moon
200,,,the tunnel under the world
201,7.1,,the two worlds of jennie logan
202,,,the ugly swans
203,5.6,,village of the damned
204,3.3,,village of the giants
205,7.8,,vinyl
206,4.9,,virus
207,7.1,72700000.0,we
208,6.7,,when worlds collide
209,7.4,,woman in the moon
210,7.9,,world on a wire
211,7.0,,"the world, the flesh and the devil"
212,4.2,,a wrinkle in time
213,6.0,118483.0,z for zachariah
